Id	Name	Latitude	Longitude	Elevation (m)	Depth (m)	Description
1	OV.ARCO	40.843800 (40N 50.63)	14.093300 (14E 05.60)	22	0	N/A
2	OV.ASE	40.840200 (40N 50.41)	14.158700 (14E 09.52)	107	0	N/A
39	OV.BKE	40.818500 (40N 49.11)	14.438700 (14E 26.32)	872	0	Bunker Est
3	OV.CAAM	40.820000 (40N 49.20)	14.142000 (14E 08.52)	100	0	N/A
28	OV.CAI	40.732053 (40N 43.92)	13.965483 (13E 57.93)	136	0	N/A
4	OV.CAP	40.806400 (40N 48.38)	14.192300 (14E 11.54)	166	0	N/A
5	OV.CASO	40.840100 (40N 50.41)	14.139000 (14E 08.34)	222	0	N/A
6	OV.CBAC	40.811000 (40N 48.66)	14.080700 (14E 04.84)	33	0	N/A
7	OV.CBAG	40.811500 (40N 48.69)	14.174700 (14E 10.48)	169	0	N/A
76	OV.CCAG	40.821167 (40N 49.27)	14.118667 (14E 07.12)	30	0	Pozzuoli Molo Caligoliano
8	OV.CCCA	40.832600 (40N 49.96)	14.123600 (14E 07.42)	-26	0	N/A
9	OV.CCVA	40.856100 (40N 51.37)	14.117700 (14E 07.06)	-25	0	N/A
10	OV.CDOV	40.819700 (40N 49.18)	14.182800 (14E 10.97)	18	0	N/A
11	OV.CFB1	40.810300 (40N 48.62)	14.121200 (14E 07.27)	-40	0	N/A
12	OV.CFB2	40.804200 (40N 48.25)	14.133800 (14E 08.03)	-74	0	N/A
13	OV.CFB3	40.809000 (40N 48.54)	14.144200 (14E 08.65)	-38	0	N/A
15	OV.CFMN	40.832900 (40N 49.97)	14.090400 (14E 05.42)	50	0	N/A
14	OV.CFSB	40.797800 (40N 47.87)	14.119800 (14E 07.19)	-96	0	N/A
98	2I.CGAU	40.852368 (40N 51.14)	14.112998 (14E 06.78)	101	0	Stazione Rete Mobile - Gauro
16	OV.CIRC	40.831400 (40N 49.88)	14.197200 (14E 11.83)	40	0	N/A
88	2I.CLAC	40.883600 (40N 53.02)	14.070600 (14E 04.24)	55	0	Stazione Rete Mobile - Licola
104	IV.CMDP	40.796292 (40N 47.78)	14.062678 (14E 03.76)	55.425	0	Monte di Procida
40	OV.CMDT	40.779400 (40N 46.76)	14.408700 (14E 24.52)	118	0	N/A
17	OV.CMIS	40.778154 (40N 46.69)	14.089047 (14E 05.34)	133.6004	0	N/A
18	OV.CMSA	40.838600 (40N 50.32)	14.183600 (14E 11.02)	95	0	N/A
19	OV.COLB	40.819000 (40N 49.14)	14.144600 (14E 08.68)	8	0	N/A
20	OV.CPIS	40.829200 (40N 49.75)	14.147000 (14E 08.82)	69	0	N/A
21	OV.CPOZ	40.821200 (40N 49.27)	14.118600 (14E 07.12)	3	0	N/A
41	OV.CPV	40.782200 (40N 46.93)	14.422000 (14E 25.32)	181	0	N/A
26	IV.CQUE	40.885600 (40N 53.14)	14.153800 (14E 09.23)	65	0	N/A
82	IV.CROS	40.824467 (40N 49.47)	14.150167 (14E 09.01)	107.9	0	Complesso la Rosida
42	OV.CRTO	40.821200 (40N 49.27)	14.422000 (14E 25.32)	1097	0	N/A
24	IV.CRUS	40.862500 (40N 51.75)	14.079800 (14E 04.79)	104	0	N/A
23	OV.CSFT	40.829000 (40N 49.74)	14.139500 (14E 08.37)	108	0	N/A
22	OV.CSOB	40.826700 (40N 49.60)	14.143900 (14E 08.63)	177	0	N/A
97	2I.CSOC	40.841698 (40N 50.50)	14.212443 (14E 12.75)	143	0	Stazione Rete Mobile - Soccavo
102	IV.CUMA	40.847936 (40N 50.88)	14.053448 (14E 03.21)	53	0	Parco Archeologico di Cuma
72	OV.DMP	40.835000 (40N 50.10)	14.114170 (14E 06.85)	40	0	Deposito Marina Pozzuoli
74	IV.IBCM	40.711540 (40N 42.69)	13.916107 (13E 54.97)	309	0	Barano - Casa Madonna
68	IV.IBRN	40.714016 (40N 42.84)	13.926843 (13E 55.61)	150	0	Ischia Barano
34	IV.ICVJ	40.743510 (40N 44.61)	13.895220 (13E 53.71)	81	0	Ischia Casamicciola Villa Jantò
30	OV.IFOR	40.711513 (40N 42.69)	13.855177 (13E 51.31)	278	0	N/A
106	2I.ILSM	40.750900 (40N 45.05)	13.887400 (13E 53.24)	20	0	Stazione Rete Mobile - Lacco Ameno
67	IV.IMNT	40.736135 (40N 44.17)	13.934605 (13E 56.08)	180	0	Ischia Montagnone
31	OV.IMTC	40.720887 (40N 43.25)	13.875813 (13E 52.55)	256	0	N/A
29	OV.IOCA	40.746796 (40N 44.81)	13.901420 (13E 54.09)	166	0	N/A
66	IV.IPSM	40.746233 (40N 44.77)	13.943943 (13E 56.64)	10	0	Ischia Porto Sul Mare
69	IV.IVLC	40.759093 (40N 45.55)	13.872096 (13E 52.33)	70	0	Ischia Villa La Colombaia
103	2I.MOV1	40.797167 (40N 47.83)	14.439562 (14E 26.37)	360	0	Stazione Rete Mobile - Via Cifelli
36	OV.MSC	41.191500 (41N 11.49)	13.971300 (13E 58.28)	109	0	N/A
35	OV.MTST	40.237800 (40N 14.27)	15.065300 (15E 03.92)	1111	0	N/A
25	OV.NIS	40.797800 (40N 47.87)	14.164600 (14E 09.88)	1	0	N/A
43	OV.NL9	40.920500 (40N 55.23)	14.545000 (14E 32.70)	85	0	N/A
44	OV.OTV	40.839200 (40N 50.35)	14.466300 (14E 27.98)	372	0	N/A
45	OV.OVO	40.827200 (40N 49.63)	14.396500 (14E 23.79)	584	0	N/A
47	OV.POB	40.852200 (40N 51.13)	14.383300 (14E 23.00)	170	0	N/A
48	OV.PPV	40.756500 (40N 45.39)	14.483600 (14E 29.02)	372	0	N/A
65	IV.PTMR	40.761417 (40N 45.69)	14.034917 (14E 02.10)	100	0	Procida Terra Murata
37	OV.SGG	41.386700 (41N 23.20)	14.378700 (14E 22.72)	862	0	N/A
38	OV.SOR	40.582000 (40N 34.92)	14.335500 (14E 20.13)	497	0	N/A
49	OV.SSB	40.841600 (40N 50.50)	14.370400 (14E 22.22)	176	0	N/A
27	OV.STH	40.829400 (40N 49.76)	14.149100 (14E 08.95)	65	0	N/A
32	ZM.T361	40.756690 (40N 45.40)	13.878890 (13E 52.73)	7	0	Stazione Mobile Ischia
33	OV.T363	40.745500 (40N 44.73)	13.913510 (13E 54.81)	50	0	Stazione Mobile Ischia
64	ZM.T365	40.701390 (40N 42.08)	13.918150 (13E 55.09)	130	0	Stazione Mobile Ischia
63	ZM.T366	40.737270 (40N 44.24)	13.904580 (13E 54.27)	213	0	Stazione Mobile Ischia
50	OV.TDG	40.806500 (40N 48.39)	14.392000 (14E 23.52)	305	0	N/A
51	OV.TRZ	40.807000 (40N 48.42)	14.475300 (14E 28.52)	176	0	N/A
87	IV.V0102	40.829674 (40N 49.78)	14.147515 (14E 08.85)	69	0	Stazione mobile tennis Pisciarelli
96	IV.V0104	40.852400 (40N 51.14)	14.113000 (14E 06.78)	100	0	Stazione mobile Gauro
83	IV.V0105	40.808040 (40N 48.48)	14.159395 (14E 09.56)	14	0	Stazione mobile pontile Bagnoli
52	OV.VARP	40.816400 (40N 48.98)	14.409800 (14E 24.59)	671	0	N/A
53	OV.VBKN	40.829900 (40N 49.79)	14.429800 (14E 25.79)	860	0	Bunker Nord
90	IV.VBKS	40.806289 (40N 48.38)	14.422496 (14E 25.35)	617	0	Bunker Sud
86	IV.VBKW	40.824213 (40N 49.45)	14.414153 (14E 24.85)	842	0	Bunker Ovest
99	2I.VCDC	40.916251 (40N 54.98)	14.409610 (14E 24.58)	95	0	Stazione Rete Mobile - Castello di Cisterna
54	OV.VCNE	40.826600 (40N 49.60)	14.434000 (14E 26.04)	942	0	N/A
55	OV.VCRE	40.819000 (40N 49.14)	14.431400 (14E 25.88)	1130	0	N/A
56	OV.VEPO	40.804700 (40N 48.28)	14.336700 (14E 20.20)	2	0	N/A
46	OV.VOVO	40.828300 (40N 49.70)	14.395600 (14E 23.74)	493	0	N/A
100	2I.VSVT	40.822900 (40N 49.37)	14.369200 (14E 22.15)	195	0	Stazione Rete Mobile - San Vito
57	OV.VTIR	40.805900 (40N 48.35)	14.424200 (14E 25.45)	619	0	N/A
58	OV.VTVA	40.797100 (40N 47.83)	14.439600 (14E 26.38)	366	0	N/A
59	OV.VVDG	40.835600 (40N 50.14)	14.423900 (14E 25.43)	855	0	N/A
